district,region,village,direction,elevator,floor,layout,decoration,year,size,price,perprice
锦江,三圣乡,俊发星雅俊园 ,东南,有,低楼层,2室1厅,其他,2014,61.0,60.0,9837
锦江,攀成钢,澳龙名城 ,东,有,低楼层,3室1厅,其他,2014,114.0,280.0,24562
锦江,攀成钢,通用时代国际社区 ,西南,有,高楼层,3室2厅,其他,2014,96.0,380.0,39584
锦江,卓锦城,卓锦城二期 ,东南,有,低楼层,3室2厅,精装,2014,124.0,286.0,23004
锦江,静居寺,东光街11号 ,东南,无,高楼层,2室2厅,其他,2014,65.0,73.0,11112
锦江,东光小区,香江花园 ,南,无,高楼层,2室1厅,简装,2014,65.0,90.0,13847
锦江,三官堂,摩玛城 ,东南,有,低楼层,1室1厅,简装,2014,63.0,116.0,18320
锦江,东大路,天誉花园 ,南,有,高楼层,4室1厅,其他,2010,179.0,610.0,34058
锦江,卓锦城,卓锦城五期 ,南,有,高楼层,4室2厅,精装,2010,124.0,320.0,25639
锦江,三官堂,望江嘉苑 ,东南,无,高楼层,2室2厅,简装,2010,79.0,160.0,20213
锦江,三圣乡,锦江城市花园三期 ,西南,有,低楼层,3室1厅,简装,2010,81.0,150.0,18501
锦江,沙河堡,金领大厦 ,东南,有,中楼层,2室1厅,其他,2010,93.0,130.0,13915
锦江,三圣乡,锦江城市花园三期 ,东南,有,高楼层,2室1厅,简装,2010,58.0,98.0,16713
锦江,合江亭,一环路东五段87号 ,南,无,中楼层,2室1厅,其他,2010,41.0,65.0,15607
锦江,水碾河,蜀都花园 ,南,有,高楼层,2室2厅,简装,2010,106.0,165.0,15514
锦江,三官堂,望江橡树林一期 ,东北,有,中楼层,3室2厅,精装,2010,131.0,360.0,27323
锦江,沙河堡,万科金润华府 ,东北,有,低楼层,2室2厅,精装,2010,65.0,156.0,23890
锦江,东湖,翡翠城五期 ,西南,有,中楼层,3室1厅,其他,2010,89.0,290.0,32284
锦江,合江亭,铁狮门晶融汇 ,南,有,中楼层,1室1厅,其他,2010,68.0,280.0,40829
锦江,三圣乡,锦江城市花园二期 ,东,有,低楼层,2室1厅,精装,2010,71.0,136.0,18929
